1	 419143 
2	 849946 
3	 1.27661e+06 
4	 1.72656e+06 
5	 2.15416e+06 
6	 2.58729e+06 
7	 3.00908e+06 
8	 3.44453e+06 
9	 3.87047e+06 
10	 4.28224e+06 
11	 4.6632e+06 
12	 5.09911e+06 
13	 5.38527e+06 
14	 5.81045e+06 
15	 6.28787e+06 
16	 6.40138e+06 
17	 6.57211e+06 
18	 6.81702e+06 
19	 6.9984e+06 
20	 7.21076e+06 
21	 7.55984e+06 
22	 7.7418e+06 
23	 7.97815e+06 
24	 8.20258e+06 
25	 8.42488e+06 
26	 8.65836e+06 
27	 8.85181e+06 
28	 8.96444e+06 
29	 9.16842e+06 
30	 9.44042e+06 
31	 9.74272e+06 
