1	 446809 
2	 906427 
3	 1.37756e+06 
4	 1.8593e+06 
5	 2.32655e+06 
6	 2.8173e+06 
7	 3.3036e+06 
8	 3.79724e+06 
9	 4.29267e+06 
10	 4.7898e+06 
11	 5.2733e+06 
12	 5.77026e+06 
13	 6.24332e+06 
14	 6.75747e+06 
15	 7.26706e+06 
16	 7.77111e+06 
17	 8.08376e+06 
18	 8.31164e+06 
19	 8.60815e+06 
20	 8.83326e+06 
21	 9.10221e+06 
22	 9.38887e+06 
23	 9.6202e+06 
24	 9.93428e+06 
25	 1.01667e+07 
26	 1.04824e+07 
27	 1.07371e+07 
28	 1.0989e+07 
29	 1.12664e+07 
30	 1.15597e+07 
31	 1.18505e+07 
